symbol	alias	entrez
A1BG	A1BG	1
A1BG	ABG	1
A1BG	GAB	1
A1BG	HYST2477	1
A2M	A2M	2
A2M	A2MD	2
A2M	CPAMD5	2
A2M	FWP007	2
A2M	S863-7	2
NAT1	NAT1	9
NAT1	MNAT	9
NAT1	NATI	9
NAT2	NAT2	10
NAT2	NAT-2	10
NAT2	PNAT	10
SERPINA3	SERPINA3	12
SERPINA3	AACT	12
SERPINA3	GIG24	12
SERPINA3	GIG25	12
AADAC	AADAC	13
AADAC	CES5A1	13
AAMP	AAMP	14
AANAT	AANAT	15
AANAT	DSPS	15
AANAT	SNAT	15
AARS	AARS	16
AARS	CMT2N	16
AARS	EIEE29	16
ABAT	ABAT	18
ABAT	GABA-AT	18
ABAT	GABAT	18
ABAT	NPD009	18
ABCA1	ABCA1	19
ABCA1	ABC-1	19
ABCA1	CERP	19
ABCA1	HDLDT1	19
ABCA1	TGD	19
ABCA2	ABCA2	20
ABCA2	ABC2	20
ABCA3	ABCA3	21
ABCA3	ABC-C	21
ABCA3	ABC3	21
ABCA3	EST111653	21
ABCA3	LBM180	21
ABCA3	SMDP3	21
ABCB7	ABCB7	22
ABCB7	ABC7	22
ABCB7	ASAT	22
ABCB7	Atm1p	22
ABCB7	EST140535	22
ABCF1	ABCF1	23
ABCF1	ABC27	23
ABCF1	ABC50	23
ABCA4	ABCA4	24
ABCA4	ABC10	24
ABCA4	ABCR	24
ABCA4	ARMD2	24
ABCA4	CORD3	24
ABCA4	FFM	24
ABCA4	RP19	24
ABCA4	STGD	24
ABCA4	STGD1	24
ABL1	ABL1	25
ABL1	CHDSKM	25
ABL1	JTK7	25
ABL1	bcr/abl	25
ABL1	c-ABL	25
ABL1	c-ABL1	25
ABL1	v-abl	25
AOC1	AOC1	26
AOC1	DAO1	26
AOC1	KAO	26
ABL2	ABL2	27
ABL2	ABLL	27
ABO	ABO	28
ABO	A3GALT1	28
ABO	NAGAT	28
ABR	ABR	29
ABR	MDB	29
ACAA1	ACAA1	30
ACAA1	ACAA	30
ACAA1	PTHIO	30
ACAA1	THIO	30
ACACA	ACACA	31
ACACA	ACACD	31
ACACA	ACC	31
ACACB	ACACB	32
ACACB	ACCB	32
ACACB	HACC275	32
ACADL	ACADL	33
ACADL	ACAD4	33
ACADM	ACADM	34
ACADM	ACAD1	34
ACADM	MCADH	34
ACADS	ACADS	35
ACADS	ACAD3	35
ACADS	SCAD	35
ACADSB	ACADSB	36
ACADSB	2-MEBCAD	36
ACADSB	ACAD7	36
ACADSB	SBCAD	36
ACADVL	ACADVL	37
ACADVL	ACAD6	37
ACADVL	LCACD	37
ACADVL	VLCAD	37
ACAT1	ACAT1	38
ACAT1	THIL	38
ACAT2	ACAT2	39
ASIC2	ASIC2	40
ASIC2	ACCN	40
ASIC2	ACCN1a	40
ASIC2	BNaC1	40
ASIC2	MDEG	40
ASIC2	hBNaC1	40
ASIC1	ASIC1	41
ASIC1	ACCN2	41
ASIC1	ASIC	41
ASIC1	BNaC2	41
ACHE	ACHE	43
ACHE	ACEE	43
ACHE	ARACHE	43
ACHE	N-ACHE	43
ACHE	YT	43
ACLY	ACLY	47
ACLY	ACL	47
ACLY	ATPCL	47
ACLY	CLATP	47
ACO1	ACO1	48
ACO1	ACONS	48
ACO1	HEL60	48
ACO1	IREB1	48
ACO1	IREBP	48
ACO1	IREBP1	48
ACO1	IRP1	48
ACR	ACR	49
ACO2	ACO2	50
ACO2	ACONM	50
ACO2	ICRD	50
ACO2	OCA8	50
ACO2	OPA9	50
ACOX1	ACOX1	51
ACOX1	ACOX	51
ACOX1	PALMCOX	51
ACOX1	SCOX	51
ACP1	ACP1	52
ACP1	HAAP	52
ACP1	LMW-PTP	52
ACP1	LMWPTP	52
ACP2	ACP2	53
ACP5	ACP5	54
ACP5	HPAP	54
ACP5	TRACP5a	54
ACP5	TRACP5b	54
ACP5	TrATPase	54
ACPP	ACPP	55
ACPP	5'-NT	55
ACPP	ACP-3	55
ACPP	ACP3	55
ACRV1	ACRV1	56
ACRV1	D11S4365	56
ACRV1	SP-10	56
ACRV1	SPACA2	56
ACTA1	ACTA1	58
ACTA1	ACTA	58
ACTA1	ASMA	58
ACTA1	CFTD1	58
ACTA1	CFTDM	58
ACTA1	MPFD	58
ACTA1	NEM3	58
ACTA1	SHPM	58
ACTA2	ACTA2	59
ACTA2	ACTSA	59
ACTB	ACTB	60
ACTB	BRWS1	60
ACTB	PS1TP5BP1	60
ACTC1	ACTC1	70
ACTC1	ACTC	70
ACTC1	ASD5	70
ACTC1	CMD1R	70
ACTC1	CMH11	70
ACTC1	LVNC4	70
ACTG1	ACTG1	71
ACTG1	ACTG	71
ACTG1	DFNA20	71
ACTG1	DFNA26	71
ACTG1	HEL-176	71
ACTG2	ACTG2	72
ACTG2	ACTA3	72
ACTG2	ACTE	72
ACTG2	ACTL3	72
ACTG2	ACTSG	72
ACTG2	VSCM	72
ACTN4	ACTN4	81
ACTN4	ACTININ-4	81
ACTN4	FSGS	81
ACTN4	FSGS1	81
ACTL6A	ACTL6A	86
ACTL6A	ARPN-BETA	86
ACTL6A	Arp4	86
ACTL6A	BAF53A	86
ACTL6A	INO80K	86
ACTN1	ACTN1	87
ACTN1	BDPLT15	87
ACTN2	ACTN2	88
ACTN2	CMD1AA	88
ACTN2	CMH23	88
ACTN3	ACTN3	89
ACTN3	ACTN3D	89
ACVR1	ACVR1	90
ACVR1	ACTRIA	90
ACVR1	ACVRLK2	90
ACVR1	ALK2	90
ACVR1	SKR1	90
