entrez	symbol	chromosome	tstart	tend
9	NAT1	chr8	18219406	18222917
10	NAT2	chr8	18400004	18400873
18	ABAT	chr16	8735740	8781427
23	ABCF1	chr6	30571488	30590698
24	ABCA4	chr1	93996109	94121045
34	ACADM	chr1	75728389	75762760
35	ACADS	chr12	120725886	120739445
37	ACADVL	chr17	7217712	7225094
38	ACAT1	chr11	108121607	108147387
94	ACVRL1	chr12	51912433	51920890
100	ADA	chr20	44620297	44651607
124	ADH1A	chr4	99279428	99287665
125	ADH1B	chr4	99310767	99318886
126	ADH1C	chr4	99339579	99347846
128	ADH5	chr4	99072575	99085216
130	ADH6	chr4	99204924	99216265
131	ADH7	chr4	99415480	99435269
134	ADORA1	chr1	203128842	203165897
135	ADORA2A	chr22	24433405	24441486
136	ADORA2B	chr17	15945249	15975339
146	ADRA1D	chr20	4221526	4248957
148	ADRA1A	chr8	26756547	26864969
150	ADRA2A	chr10	111077997	111079391
151	ADRA2B	chr2	96114800	96116149
152	ADRA2C	chr4	3766607	3767992
153	ADRB1	chr10	114044133	114045563
154	ADRB2	chr5	148826832	148828070
155	ADRB3	chr8	37965264	37966469
164	AP1G1	chr16	71733061	71789479
175	AGA	chr4	177431711	177442375
178	AGL	chr1	99851043	99921648
182	JAG1	chr20	10639501	10673530
183	AGT	chr1	230703144	230710850
185	AGTR1	chr3	148739917	148742112
186	AGTR2	chrX	116172281	116173369
189	AGXT	chr2	240868866	240878818
190	NR0B1	chrX	30304582	30309363
191	AHCY	chr20	34281037	34295589
203	AK1	chr9	127868011	127873448
210	ALAD	chr9	113388303	113393586
211	ALAS1	chr3	52199221	52214177
213	ALB	chr4	73404328	73419639
215	ABCD1	chrX	153725267	153743732
216	ALDH1A1	chr9	72901211	72953000
217	ALDH2	chr12	111766983	111803982
219	ALDH1B1	chr9	38395749	38397299
220	ALDH1A3	chr15	100879908	100914770
221	ALDH3B1	chr11	68015298	68027936
222	ALDH3B2	chr11	67663218	67666694
223	ALDH9A1	chr1	165663053	165698558
224	ALDH3A2	chr17	19648972	19675622
229	ALDOB	chr9	101421812	101430887
240	ALOX5	chr10	45374280	45445684
249	ALPL	chr1	21554082	21577645
268	AMH	chr19	2249333	2251954
270	AMPD1	chr1	114673117	114695570
272	AMPD3	chr11	10461514	10505881
275	AMT	chr3	49417543	49422450
279	AMY2A	chr1	103617441	103625743
302	ANXA2	chr15	60347633	60386087
312	ANXA13	chr8	123681243	123735877
324	APC	chr5	112707718	112844123
326	AIRE	chr21	44286007	44297724
332	BIRC5	chr17	78214317	78223654
333	APLP1	chr19	35868637	35879438
335	APOA1	chr11	116835811	116837387
337	APOA4	chr11	116820870	116823191
338	APOB	chr2	21001733	21043552
344	APOC2	chr19	44948479	44949246
345	APOC3	chr11	116830583	116832881
348	APOE	chr19	44905869	44909247
350	APOH	chr17	66212136	66229379
351	APP	chr21	25881673	26170620
353	APRT	chr16	88809701	88811899
354	KLK3	chr19	50854956	50860124
356	FASLG	chr1	172659202	172666013
359	AQP2	chr12	49950831	49955605
367	AR	chrX	67545147	67723838
383	ARG1	chr6	131573283	131583905
394	ARHGAP5	chr14	32090670	32154945
411	ARSB	chr5	78780400	78985248
412	STS	chrX	7253194	7350258
415	ARSE	chrX	2934835	2959700
435	ASL	chr7	66081803	66092909
443	ASPA	chr17	3476160	3499085
462	SERPINC1	chr1	173903892	173917259
467	ATF3	chr1	212615022	212619552
472	ATM	chr11	108227625	108365505
