sample	entrez	no_ALL_muts	no_NTDam_muts	no_TRUNC_muts	no_GOF_muts	Copy_number	CNVGain	CNVLoss	duplicability	ohnolog	essentiality_percentage	expressed_tissues_rnaseq	expressed_tissues_protein	ppin_degree	ppin_betweenness	ppin_clustering	complexes	mirna	ppin_hub	old	metazoans	vertebrates	mammalsPrimates	essentiality_oneCellLine	rnaseq_never	rnaseq_middle	protein_high	score
add_sim124	2064	0	0	0	0	25	1	0	0	1	7.34463276836158	43	25	237	194184.948053123	0.0485589644568404	35	70	1	0	1	0	0	1	0	0	0	NA
add_sim148	5885	0	0	0	0	6	1	0	1	1	44.1860465116279	43	44	258	208932.383134068	0.0541730763430157	41	26	1	1	0	0	0	1	0	0	1	NA
add_sim116	7094	0	0	0	0	25	1	0	1	1	16.0919540229885	43	43	83	30918.4387523997	0.0949162503673229	36	94	1	1	0	0	0	1	0	0	1	NA
add_sim108	5885	0	0	0	0	14	1	0	1	1	44.1860465116279	43	44	258	208932.383134068	0.0541730763430157	41	26	1	1	0	0	0	1	0	0	1	NA
add_sim148	1869	0	0	0	0	5	1	0	0	1	3.95480225988701	36	41	134	39762.912821111	0.0989787902592302	49	59	1	1	0	0	0	1	0	1	1	NA
add_sim113	5885	0	0	0	0	6	1	0	1	1	44.1860465116279	43	44	258	208932.383134068	0.0541730763430157	41	26	1	1	0	0	0	1	0	0	1	NA
add_sim130	3845	0	0	0	0	11	1	0	1	1	26.0355029585799	43	29	84	48560.2432367208	0.0220883534136546	33	78	1	1	0	0	0	1	0	0	0	NA
add_sim110	10818	0	0	0	0	29	1	0	0	1	2.8735632183908	43	36	33	3575.43720539056	0.257575757575758	56	81	0	1	0	0	0	1	0	0	0	NA
add_sim122	1019	0	0	0	0	39	1	0	0	0	17.1428571428571	43	29	171	105129.35082788	0.0549019607843137	29	100	1	1	0	0	0	1	0	0	0	NA
add_sim131	7525	0	0	0	0	17	1	0	1	1	1.71428571428571	43	43	123	64877.1361496799	0.0551779288284686	26	86	1	1	0	0	0	1	0	0	1	NA
add_sim142	7094	0	0	0	0	17	1	0	1	1	16.0919540229885	43	43	83	30918.4387523997	0.0949162503673229	36	94	1	1	0	0	0	1	0	0	1	NA
add_sim142	1173	0	0	0	0	19	1	0	0	0	43.3526011560694	43	35	219	144474.865582869	0.0626701855808303	37	69	1	1	0	0	0	1	0	0	0	NA
add_sim123	4361	0	0	0	0	13	1	0	1	0	20	40	44	121	33446.4596327088	0.124931129476584	70	81	1	1	0	0	0	1	0	0	1	NA
add_sim108	5335	0	0	0	0	6	1	0	0	1	1.69491525423729	43	44	231	151915.887327997	0.0581968755881799	56	56	1	1	0	0	0	1	0	0	1	NA
add_sim140	8451	0	0	0	0	40	1	0	1	1	1.44927536231884	43	36	284	199834.474223617	0.0740556412681033	51	18	1	1	0	0	0	1	0	0	0	NA
add_sim138	8451	0	0	0	0	42	1	0	1	1	1.44927536231884	43	36	284	199834.474223617	0.0740556412681033	51	18	1	1	0	0	0	1	0	0	0	NA
add_sim107	4193	0	0	0	0	31	1	0	0	1	18.3908045977011	43	44	498	538075.441439	0.0441039813176246	33	201	1	1	0	0	0	1	0	0	1	NA
