entrez	length_RefSeq	domains_InterPro	duplicability	ohnolog	essentiality_percentage	expressed_tissues_rnaseq	expressed_tissues_protein	ppin_degree	ppin_betweenness	ppin_clustering	complexes	mirna	multiDomain	ppin_hub	ppin_central	old	metazoans	vertebrates	mammalsPrimates	essentiality_oneCellLine	rnaseq_never	rnaseq_selective	rnaseq_middle	rnaseq_ubiquitous	protein_low	protein_high
9	352	3	1	0	2.56410256410256	36	40	3	36.3222420931121	0	3	2	1	0	0	1	0	0	0	1	0	0	1	0	0	0
10	290	2	1	0	0	8	29	22	2264.72114208857	0.0779220779220779	3	14	1	0	0	1	0	0	0	0	0	0	1	0	0	0
18	500	5	0	0	19.3333333333333	42	36	33	6675.62156949263	0.0814393939393939	3	13	1	0	0	1	0	0	0	1	0	0	0	1	0	0
23	845	5	0	0	23.9766081871345	41	44	65	7182.72984337317	0.219230769230769	1	83	1	1	0	1	0	0	0	1	0	0	0	1	0	1
24	2273	6	0	1	0	5	36	1	0	0	3	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0
34	454	3	0	0	0	43	43	49	5408.48488592617	0.187074829931973	3	3	1	1	0	1	0	0	0	0	0	0	0	1	0	1
35	412	7	0	0	0	43	44	12	1566.55480442215	0.0151515151515152	3	3	1	0	0	1	0	0	0	0	0	0	0	1	0	1
37	678	7	0	0	0.568181818181818	43	44	36	14141.7065586743	0.0428571428571429	1	4	1	0	1	1	0	0	0	1	0	0	0	1	0	1
38	427	7	0	0	0.564971751412429	43	44	69	16631.585927795	0.115942028985507	3	4	1	1	1	1	0	0	0	1	0	0	0	1	0	1
94	503	7	0	1	1.12994350282486	41	26	24	5416.85221931407	0.177536231884058	1	36	1	0	0	0	1	0	0	1	0	0	0	1	0	0
100	363	5	0	0	0	42	3	22	5590.4477535365	0.0779220779220779	1	3	1	0	0	1	0	0	0	0	0	0	0	1	1	0
124	375	6	1	0	1.69491525423729	8	3	2	4.18964772713163	0	2	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0
125	375	6	1	0	0	40	20	6	10635.1159480911	0	2	24	1	0	1	1	0	0	0	0	0	0	0	1	0	0
126	375	6	1	0	0	33	34	2	2.02313231733116	0	2	14	1	0	0	1	0	0	0	0	0	0	1	0	0	0
128	374	6	1	0	9.6045197740113	43	38	18	2966.23649754728	0.104575163398693	3	69	1	0	0	1	0	0	0	1	0	0	0	1	0	0
130	375	6	0	0	0	6	7	8	143.622582277328	0.0714285714285714	3	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0
131	394	6	0	0	0	3	7	3	13.4389704962106	0.333333333333333	3	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0
134	326	4	0	0	0	20	36	12	623.032831956867	0.0757575757575758	3	14	1	0	0	0	1	0	0	0	0	0	1	0	0	0
135	412	4	0	1	0	37	4	13	877.788966499885	0.102564102564103	3	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0
136	332	4	0	1	0	20	36	7	995.174341223072	0.19047619047619	3	27	1	0	0	0	1	0	0	0	0	0	1	0	0	0
146	572	4	0	1	2.89855072463768	10	36	18	3620.52003602316	0.130718954248366	5	14	1	0	0	0	1	0	0	1	0	0	1	0	0	0
148	475	4	0	1	0	10	4	10	307.151499626611	0.155555555555556	6	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0
150	465	4	0	1	1.15606936416185	37	36	17	917.903467708067	0.139705882352941	7	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0
151	450	4	0	1	3.38983050847458	18	8	8	188.946449752616	0.0714285714285714	4	35	1	0	0	0	1	0	0	1	0	0	1	0	1	0
152	462	4	0	1	3.63636363636364	21	36	6	177.080818382456	0.133333333333333	5	14	1	0	0	0	1	0	0	1	0	0	1	0	0	0
153	477	4	0	1	2.89855072463768	10	5	19	2538.21254619376	0.0935672514619883	6	38	1	0	0	0	1	0	0	1	0	0	1	0	1	0
