sample	entrez	no_ALL_muts	no_NSI_muts	no_NTDam_muts	no_TRUNC_muts	no_GOF_muts	Copy_number	CNVGain	CNVLoss
sim1	31	1	1	1	0	0	2	0	0
sim1	58	0	0	0	0	0	8	1	0
sim1	114	0	0	0	0	0	7	1	0
sim1	159	0	0	0	0	0	6	1	0
sim1	284	0	0	0	0	0	5	1	0
sim1	286	0	0	0	0	0	6	1	0
sim1	292	0	0	0	0	0	5	1	0
sim1	362	0	0	0	0	0	5	1	0
sim1	460	1	1	1	0	0	2	0	0
sim1	477	0	0	0	0	0	3	0	0
sim1	493	0	0	0	0	0	7	1	0
sim1	633	0	0	0	0	0	5	1	0
sim1	683	1	1	1	0	0	2	0	0
sim1	727	1	1	1	0	0	2	0	0
sim1	860	1	0	0	0	0	2	0	0
sim1	892	0	0	0	0	0	9	1	0
sim1	948	0	0	0	0	0	7	1	0
sim1	1015	0	0	0	0	0	8	1	0
sim1	1069	0	0	0	0	0	7	1	0
sim1	1114	1	1	1	0	0	2	0	0
sim1	1136	1	1	1	0	0	2	0	0
sim1	1142	0	0	0	0	0	6	1	0
sim1	1184	0	0	0	0	0	5	1	0
sim1	1286	1	1	1	0	0	2	0	0
sim1	1345	0	0	0	0	0	7	1	0
sim1	1349	0	0	0	0	0	5	1	0
sim1	1472	0	0	0	0	0	5	1	0
sim1	1485	0	0	0	0	0	7	1	0
sim1	1538	0	0	0	0	0	5	1	0
sim1	1608	0	0	0	0	0	5	1	0
sim1	1641	1	1	0	0	0	2	0	0
sim1	1647	1	1	1	1	0	2	0	0
sim1	1740	1	1	1	0	0	2	0	0
sim1	1750	0	0	0	0	0	5	1	0
sim1	1756	0	0	0	0	0	1	0	1
sim1	1767	1	1	0	0	0	2	0	0
sim1	1821	0	0	0	0	0	5	1	0
sim1	1852	0	0	0	0	0	5	1	0
sim1	1875	0	0	0	0	0	6	1	0
sim1	1896	0	0	0	0	0	5	1	0
sim1	1981	0	0	0	0	0	5	1	0
sim1	2000	0	0	0	0	0	6	1	0
sim1	2056	0	0	0	0	0	20	1	0
sim1	2058	1	1	1	0	0	2	0	0
sim1	2066	1	1	0	0	0	2	0	0
sim1	2104	2	2	2	0	0	5	1	0
sim1	2150	1	1	1	0	0	2	0	0
sim1	2201	0	0	0	0	0	5	1	0
sim1	2239	0	0	0	0	0	5	1	0
sim1	2277	0	0	0	0	0	6	1	0
