sample	entrez	no_ALL_muts	no_NTDam_muts	no_TRUNC_muts	no_GOF_muts	Copy_number	CNVGain	CNVLoss	duplicability	ohnolog	essentiality_percentage	expressed_tissues_rnaseq	expressed_tissues_protein	ppin_degree	ppin_betweenness	ppin_clustering	complexes	mirna	ppin_hub	old	metazoans	vertebrates	mammalsPrimates	essentiality_oneCellLine	rnaseq_never	rnaseq_middle	protein_high	score
sim16	2064	0	0	0	0	21	1	0	0	1	7.34463276836158	43	25	237	194184.948053123	0.0485589644568404	35	70	1	0	1	0	0	1	0	0	0	0.8961404216004185
sim55	5908	0	0	0	0	11	1	0	1	1	1.43884892086331	43	36	77	38651.5724698517	0.0437457279562543	31	64	1	1	0	0	0	1	0	0	0	0.8673081568446084
sim57	117177	0	0	0	0	20	1	0	0	1	14.8648648648649	42	28	91	15598.6397710679	0.133333333333333	5	118	1	1	0	0	0	1	0	0	0	0.8547856736386756
sim11	8517	0	0	0	0	4	1	0	1	1	1.43884892086331	40	43	411	363337.077804772	0.0412794492908433	53	56	1	0	1	0	0	1	0	0	1	0.8540012898790081
sim25	3845	0	0	0	0	20	1	0	1	1	26.0355029585799	43	29	84	48560.2432367208	0.0220883534136546	33	78	1	1	0	0	0	1	0	0	0	0.8385205852294302
sim55	142	0	0	0	0	4	1	0	1	0	2.27272727272727	43	44	264	137923.884857379	0.0832757230095633	38	77	1	1	0	0	0	1	0	0	1	0.8212539296809312
sim14	5781	0	0	0	0	4	1	0	1	0	20.6896551724138	43	40	186	182827.565653488	0.0697471665213601	51	25	1	1	0	0	0	1	0	0	0	0.8120092912836883
sim7	142	0	0	0	0	6	1	0	1	0	2.27272727272727	43	44	264	137923.884857379	0.0832757230095633	38	77	1	1	0	0	0	1	0	0	1	0.8053429105994161
sim45	26986	0	0	0	0	5	1	0	1	1	35.9756097560976	43	40	247	74579.5123681573	0.138408873967282	23	48	1	1	0	0	0	1	0	0	0	0.7977599686660755
sim47	5515	1	1	0	0	2	0	0	1	1	32.7586206896552	43	44	278	247514.977339854	0.0549048126120043	47	71	1	1	0	0	0	1	0	0	1	0.7953347857125015
sim88	2547	0	0	0	0	11	1	0	1	0	32.9268292682927	43	44	302	253541.888790486	0.066995225627599	48	83	1	1	0	0	0	1	0	0	1	0.7918929276484191
sim30	71	0	0	0	0	5	1	0	1	1	28.3018867924528	43	44	170	75181.9156835888	0.0869474416985729	52	71	1	1	0	0	0	1	0	0	1	0.791225231824069
sim8	142	0	0	0	0	13	1	0	1	0	2.27272727272727	43	44	264	137923.884857379	0.0832757230095633	38	77	1	1	0	0	0	1	0	0	1	0.7827558043987729
sim8	60	0	0	0	0	12	1	0	1	1	24.2774566473988	43	25	411	489281.355934498	0.0658951990979764	81	105	1	1	0	0	0	1	0	0	0	0.782072717600775
sim38	10818	0	0	0	0	18	1	0	0	1	2.8735632183908	43	36	33	3575.43720539056	0.257575757575758	56	81	0	1	0	0	0	1	0	0	0	0.779126951085698
sim53	7013	1	1	0	0	5	1	0	1	0	10.2040816326531	43	36	311	288926.029020454	0.0281506067835287	12	52	1	0	1	0	0	1	0	0	0	0.7747178212696917
sim81	71	0	0	0	0	6	1	0	1	1	28.3018867924528	43	44	170	75181.9156835888	0.0869474416985729	52	71	1	1	0	0	0	1	0	0	1	0.7717055836667804
sim16	7529	0	0	0	0	4	1	0	1	1	0.680272108843537	43	43	408	396525.38271767	0.0470202823144	42	66	1	1	0	0	0	1	0	0	1	0.7708349593851718
sim41	5908	0	0	0	0	15	1	0	1	1	1.43884892086331	43	36	77	38651.5724698517	0.0437457279562543	31	64	1	1	0	0	0	1	0	0	0	0.767597260043563
sim19	5885	0	0	0	0	7	1	0	1	1	44.1860465116279	43	44	258	208932.383134068	0.0541730763430157	41	26	1	1	0	0	0	1	0	0	1	0.7675037337057407
sim85	10818	0	0	0	0	24	1	0	0	1	2.8735632183908	43	36	33	3575.43720539056	0.257575757575758	56	81	0	1	0	0	0	1	0	0	0	0.7671755624723793
sim45	9877	0	0	0	0	25	1	0	1	0	2.73972602739726	43	41	50	5435.18679391391	0.0946938775510204	4	42	1	1	0	0	0	1	0	0	1	0.7655576910141388
sim74	7529	0	0	0	0	6	1	0	1	1	0.680272108843537	43	43	408	396525.38271767	0.0470202823144	42	66	1	1	0	0	0	1	0	0	1	0.7644656682894938
sim84	2783	0	0	0	0	11	1	0	1	1	5.69620253164557	43	41	162	181780.622794982	0.0438616670500728	46	25	1	1	0	0	0	1	0	0	1	0.7594247913130088
sim37	1173	0	0	0	0	19	1	0	0	0	43.3526011560694	43	35	219	144474.865582869	0.0626701855808303	37	69	1	1	0	0	0	1	0	0	0	0.7586929166703533
sim49	6921	0	0	0	0	10	1	0	1	0	21.5568862275449	43	36	134	64713.0024762926	0.0524071372461003	65	53	1	1	0	0	0	1	0	0	0	0.7544249682862749
sim51	399687	1	1	0	0	7	1	0	0	1	10.9195402298851	43	43	162	48105.6762057178	0.11456176673568	3	71	1	1	0	0	0	1	0	0	1	0.7506632209689063
sim4	1019	0	0	0	0	16	1	0	0	0	17.1428571428571	43	29	171	105129.35082788	0.0549019607843137	29	100	1	1	0	0	0	1	0	0	0	0.7440036878834547
sim76	5885	0	0	0	0	7	1	0	1	1	44.1860465116279	43	44	258	208932.383134068	0.0541730763430157	41	26	1	1	0	0	0	1	0	0	1	0.7434650871011238
sim66	6774	0	0	0	0	7	1	0	0	1	0.564971751412429	43	40	292	365067.912125809	0.0465800498987902	60	78	1	1	0	0	0	1	0	0	0	0.7428173391128686
sim96	1277	0	0	0	0	18	1	0	0	0	0	43	36	68	34095.4265800542	0.0522388059701493	41	98	1	1	0	0	0	0	0	0	0	0.7394687590104713
sim18	1857	0	0	0	0	15	1	0	0	1	1.44927536231884	43	42	98	48862.9140238522	0.0629076372817168	14	57	1	0	1	0	0	1	0	0	1	0.7380211737814815
sim83	86	0	0	0	0	9	1	0	1	1	35.632183908046	43	44	114	25821.3056839671	0.131190808880609	63	4	1	1	0	0	0	1	0	0	1	0.7378456659283678
sim7	7334	0	0	0	0	6	1	0	1	1	26.3473053892216	43	39	205	129862.24089992	0.0491630798660928	25	49	1	1	0	0	0	1	0	0	0	0.7376873068302926
sim22	10818	0	0	0	0	33	1	0	0	1	2.8735632183908	43	36	33	3575.43720539056	0.257575757575758	56	81	0	1	0	0	0	1	0	0	0	0.7356766215534909
sim18	10413	0	0	0	0	10	1	0	1	1	6.32183908045977	41	40	141	57378.7788197145	0.0746707193515704	20	56	1	1	0	0	0	1	0	0	0	0.7329626304793214
sim58	26986	0	0	0	0	20	1	0	1	1	35.9756097560976	43	40	247	74579.5123681573	0.138408873967282	23	48	1	1	0	0	0	1	0	0	0	0.7305515198666633
sim91	4800	0	0	0	0	23	1	0	0	0	13.3802816901408	43	43	61	17699.1825259997	0.110928961748634	19	37	1	1	0	0	0	1	0	0	1	0.728259384855509
sim58	10818	0	0	0	0	22	1	0	0	1	2.8735632183908	43	36	33	3575.43720539056	0.257575757575758	56	81	0	1	0	0	0	1	0	0	0	0.7276799459401401
sim92	6921	0	0	0	0	8	1	0	1	0	21.5568862275449	43	36	134	64713.0024762926	0.0524071372461003	65	53	1	1	0	0	0	1	0	0	0	0.7266059530253435
sim49	5478	0	0	0	0	6	1	0	1	1	30.8823529411765	43	37	113	47795.5681572275	0.105246523388116	33	79	1	1	0	0	0	1	0	0	0	0.72413082764725
sim67	83737	0	0	0	0	8	1	0	0	1	0.564971751412429	43	44	176	78914.3280196308	0.0645454545454545	30	23	1	1	0	0	0	1	0	0	1	0.7239397819933993
sim28	5885	0	0	0	0	4	1	0	1	1	44.1860465116279	43	44	258	208932.383134068	0.0541730763430157	41	26	1	1	0	0	0	1	0	0	1	0.7205545709111618
sim48	26986	0	0	0	0	5	1	0	1	1	35.9756097560976	43	40	247	74579.5123681573	0.138408873967282	23	48	1	1	0	0	0	1	0	0	0	0.7196472140314956
sim59	5062	1	1	0	0	6	1	0	1	1	6.32183908045977	43	30	144	49079.0775471598	0.06497668997669	18	90	1	1	0	0	0	1	0	0	0	0.7193091030456297
sim27	6187	0	0	0	0	7	1	0	1	1	31.4285714285714	43	26	277	83285.2785460698	0.189112122639042	27	23	1	1	0	0	0	1	0	0	0	0.717825621524314
sim30	5594	1	1	0	0	2	0	0	1	1	10.8571428571429	43	44	314	232614.056216712	0.04774017622759	48	178	1	1	0	0	0	1	0	0	1	0.7177949667548836
sim63	8473	0	0	0	0	5	1	0	0	0	27.5862068965517	43	44	99	41354.4171778493	0.0669964955679241	9	58	1	1	0	0	0	1	0	0	1	0.7146417786194224
sim21	6921	0	0	0	0	11	1	0	1	0	21.5568862275449	43	36	134	64713.0024762926	0.0524071372461003	65	53	1	1	0	0	0	1	0	0	0	0.7124081098228181
sim1	8517	0	0	0	0	7	1	0	1	1	1.43884892086331	40	43	411	363337.077804772	0.0412794492908433	53	56	1	0	1	0	0	1	0	0	1	0.7101371419225407
sim40	8445	0	0	0	0	26	1	0	0	1	2.38095238095238	43	39	59	8249.41665398836	0.0900058445353594	1	117	1	1	0	0	0	1	0	0	0	0.707722221905147
sim97	6156	0	0	0	0	10	1	0	1	0	36.2903225806452	43	44	215	83904.5455647269	0.232036513801348	23	22	1	1	0	0	0	1	0	0	1	0.7076855303629035
sim58	6829	0	0	0	0	30	1	0	0	0	76.7441860465116	43	44	160	54910.87632113	0.0760220125786163	42	12	1	1	0	0	0	1	0	0	1	0.7063283086968241
sim57	5933	0	0	0	0	6	1	0	0	1	5.08474576271187	39	42	90	27696.5578913686	0.0881398252184769	29	55	1	1	0	0	0	1	0	0	1	0.7046959774209471
sim92	5982	0	0	0	0	10	1	0	1	0	91.1764705882353	43	39	62	6193.15887374478	0.184029613960867	68	85	1	1	0	0	0	1	0	0	0	0.7043040238052533
sim43	6147	0	0	0	0	43	1	0	1	0	72.2222222222222	43	34	185	14005.3373067874	0.345593419506463	17	41	1	1	0	0	0	1	0	0	0	0.703999525662941
sim88	8338	0	0	0	0	13	1	0	1	1	81.3559322033898	17	44	104	34873.4865786549	0.0875653472740851	97	25	1	1	0	0	0	1	0	1	1	0.7038892827168559
sim7	8338	0	0	0	0	6	1	0	1	1	81.3559322033898	17	44	104	34873.4865786549	0.0875653472740851	97	25	1	1	0	0	0	1	0	1	1	0.7037830826021061
sim63	2968	0	0	0	0	5	1	0	0	0	78.7878787878788	38	36	20	567.061943010987	0.457894736842105	74	1	0	1	0	0	0	1	0	0	0	0.7037255607662887
sim41	6233	0	0	0	0	4	1	0	1	0	97.0414201183432	43	44	137	42878.9592123352	0.182267067410906	199	45	1	1	0	0	0	1	0	0	1	0.7033651962389321
sim72	7314	0	0	0	0	9	1	0	1	1	63.2530120481928	43	44	247	325410.012374602	0.0404199993416938	180	42	1	1	0	0	0	1	0	0	1	0.7033651962389321
sim74	8349	0	0	0	0	4	1	0	1	1	18.0722891566265	43	44	125	22406.0771586438	0.0851612903225806	119	40	1	1	0	0	0	1	0	0	1	0.7033651962389321
sim46	5440	0	0	0	0	17	1	0	1	0	36.6459627329193	43	36	26	1659.31194419718	0.532307692307692	122	1	0	1	0	0	0	1	0	0	0	0.703365196238932
sim95	4893	0	0	0	0	19	1	0	1	1	5.08474576271187	43	29	66	18689.3325135014	0.0205128205128205	32	75	1	1	0	0	0	1	0	0	0	0.7018405330750286
sim86	59345	0	0	0	0	11	1	0	1	1	1.12994350282486	40	44	65	24205.8238491501	0.0394230769230769	46	27	1	1	0	0	0	1	0	0	1	0.6984306458135411
sim95	8772	0	0	0	0	32	1	0	0	0	5.79710144927536	43	32	74	12564.5787230211	0.0955201777119585	39	7	1	0	1	0	0	1	0	0	0	0.6975117726306417
sim37	2783	0	0	0	0	14	1	0	1	1	5.69620253164557	43	41	162	181780.622794982	0.0438616670500728	46	25	1	1	0	0	0	1	0	0	1	0.6974338154157952
sim88	498	0	0	0	0	24	1	0	1	0	40.1162790697674	43	44	179	79069.583186454	0.12234009164522	4	84	1	1	0	0	0	1	0	0	1	0.6973756976906478
sim56	71	0	0	0	0	6	1	0	1	1	28.3018867924528	43	44	170	75181.9156835888	0.0869474416985729	52	71	1	1	0	0	0	1	0	0	1	0.6962276682444984
sim81	10097	0	0	0	0	7	1	0	1	1	25.6410256410256	43	40	137	48255.5553663852	0.131494203520824	21	95	1	1	0	0	0	1	0	0	0	0.6958729947168827
sim94	8453	0	0	0	0	5	1	0	0	0	26.9005847953216	43	34	438	294130.417839622	0.0639791856054669	24	19	1	1	0	0	0	1	0	0	0	0.6957013204311485
sim5	5290	0	0	0	0	29	1	0	0	1	9.65909090909091	42	44	96	37687.1745666545	0.0611842105263158	46	14	1	1	0	0	0	1	0	0	1	0.6946968655376078
sim82	8453	0	0	0	0	18	1	0	0	0	26.9005847953216	43	34	438	294130.417839622	0.0639791856054669	24	19	1	1	0	0	0	1	0	0	0	0.6941992304987241
sim48	54904	0	0	0	0	19	1	0	0	1	2.82485875706215	43	44	54	7820.72491467931	0.0559049615653389	8	12	1	1	0	0	0	1	0	0	1	0.6924075149085818
sim21	10818	0	0	0	0	14	1	0	0	1	2.8735632183908	43	36	33	3575.43720539056	0.257575757575758	56	81	0	1	0	0	0	1	0	0	0	0.6913843686807368
sim60	5885	0	0	0	0	11	1	0	1	1	44.1860465116279	43	44	258	208932.383134068	0.0541730763430157	41	26	1	1	0	0	0	1	0	0	1	0.6878649527142751
sim62	6217	0	0	0	0	30	1	0	1	0	56.3218390804598	43	39	193	22352.729502666	0.335438255613126	25	53	1	1	0	0	0	1	0	0	0	0.6877319428780202
sim11	6908	0	0	0	0	4	1	0	0	1	23.6994219653179	43	41	174	73886.0358099857	0.0759417978871836	63	3	1	1	0	0	0	1	0	0	1	0.6874155329443853
sim89	4193	0	0	0	0	14	1	0	0	1	18.3908045977011	43	44	498	538075.441439	0.0441039813176246	33	201	1	1	0	0	0	1	0	0	1	0.6852140716284626
sim36	10818	0	0	0	0	33	1	0	0	1	2.8735632183908	43	36	33	3575.43720539056	0.257575757575758	56	81	0	1	0	0	0	1	0	0	0	0.6846609853564878
sim71	898	0	0	0	0	14	1	0	0	1	3.95480225988701	35	27	77	6621.39593968585	0.126452494873548	29	36	1	1	0	0	0	1	0	1	0	0.6818024817770459
sim5	8826	0	0	0	0	19	1	0	0	1	14.7727272727273	43	40	281	150504.17586106	0.0895017793594306	27	11	1	1	0	0	0	1	0	0	0	0.6803945389989531
sim28	10075	1	1	1	0	5	1	0	0	0	36.6279069767442	43	44	464	291826.399861424	0.0655675132196321	4	37	1	1	0	0	0	1	0	0	1	0.679087882283545
sim65	998	0	0	0	0	26	1	0	1	0	4.31654676258993	43	40	235	210099.728758749	0.0280050918348791	36	25	1	1	0	0	0	1	0	0	0	0.6790364594580107
sim36	2064	0	0	0	0	47	1	0	0	1	7.34463276836158	43	25	237	194184.948053123	0.0485589644568404	35	70	1	0	1	0	0	1	0	0	0	0.6781773890073466
sim79	7525	1	1	0	0	2	0	0	1	1	1.71428571428571	43	43	123	64877.1361496799	0.0551779288284686	26	86	1	1	0	0	0	1	0	0	1	0.6777367445216285
sim2	7534	0	0	0	0	13	1	0	1	1	6.12244897959184	43	44	642	856930.246528175	0.0484737146495206	32	206	1	1	0	0	0	1	0	0	1	0.6771719222751461
sim99	5440	0	0	0	0	5	1	0	1	0	36.6459627329193	43	36	26	1659.31194419718	0.532307692307692	122	1	0	1	0	0	0	1	0	0	0	0.6771517823035353
