GENE	CGC	GENE_LEN	GENE_NUM_MUTS	MUTS_IN_CLUST	NUM_CLUSTERS	CLUST_COORDS	GENE_SCORE	ZSCORE	PVALUE	QVALUE
IDH1	Dom	415.0	491	457	1	[132,132]:457	0.9307535641547862	6.484451982916931	4.4527440001852105e-11	3.8388259464027835e-07
NRAS	Dom	190.0	239	224	2	[12,16]:31,[61,62]:193	0.9218457958772267	6.41480680655399	7.050077771774591e-11	3.8388259464027835e-07
KRAS	Dom	190.0	626	612	3	[12,24]:555,[59,71]:43,[146,151]:14	0.9185318122668551	6.3888965037916625	8.354354616763403e-11	3.8388259464027835e-07
BRAF	Dom	767.0	660	617	4	[462,471]:31,[581,581]:7,[594,597]:16,[597,609]:563	0.9046962823489364	6.280723739168268	1.6850025537163055e-10	5.806940050744818e-07
HRAS	Dom	190.0	125	116	3	[11,13]:54,[59,61]:53,[117,120]:9	0.8562513744311142	5.901958368236603	1.7960591073455667e-09	4.951734958951727e-06
GNA11	Dom	360.0	54	44	3	[183,183]:3,[209,213]:39,[307,307]:2	0.8009261035236279	5.469399041408781	2.257820258799932e-08	5.1873420445928435e-05
IDH2	Dom	453.0	42	34	2	[7,10]:8,[42,42]:26	0.7941324657754332	5.41628314476934	3.042535631638072e-08	5.9916219545901174e-05
AKT1	Dom	481.0	75	61	5	[15,17]:47,[40,44]:3,[48,52]:5,[80,80]:2,[322,323]:4	0.774142745276561	5.259993986114747	7.203005655894711e-08	0.00012411679120813573
FBXW7	Rec	708.0	211	182	16	[35,40]:3,[59,59]:3,[169,169]:2,[267,267]:2,[278,286]:8,[305,308]:11,[347,352]:40,[358,361]:22,[379,387]:47,[395,408]:10,[424,428]:9,[436,442]:4,[458,467]:6,[479,482]:3,[556,556]:2,[571,575]:10	0.7523923834109734	5.089939294424715	1.7908908083041267e-07	0.0002724215014844524
CKMT1A		449.0	8	6	3	[309,309]:2,[325,325]:2,[399,399]:2	0.75	5.071234501103501	1.976216913198784e-07	0.0002724215014844524
TNP1		56.0	11	10	3	[2,5]:3,[33,35]:3,[43,47]:4	0.7366893402752768	4.967165421716826	3.396931628715936e-07	0.00042569729547135615
DEFB114		70.0	18	16	4	[20,22]:3,[27,28]:5,[32,37]:6,[60,60]:2	0.7323353884826991	4.933124152229191	4.046234018654929e-07	0.00046481113289298495
SST		117.0	13	13	3	[5,9]:5,[58,64]:5,[94,95]:3	0.722524389290168	4.856417086242547	5.976439865831411e-07	0.0005815539241640483
PIK3CA	Dom	1069.0	1133	1055	16	[38,39]:17,[81,83]:8,[86,93]:46,[103,124]:74,[344,350]:53,[363,366]:10,[378,380]:6,[417,420]:27,[449,453]:24,[538,547]:457,[722,726]:32,[901,914]:8,[939,939]:4,[1004,1012]:15,[1021,1029]:9,[1037,1052]:265	0.7197049582393881	4.834373431013056	6.67828261778415e-07	0.0005815539241640483
U2AF1	Dom	241.0	50	40	3	[24,29]:4,[29,38]:32,[156,157]:4	0.7194986042382719	4.832760057118144	6.732652120334362e-07	0.0005815539241640483
RAC1	Dom	212.0	47	41	4	[14,18]:4,[26,33]:21,[61,69]:8,[159,163]:8	0.7194331326911888	4.832248169370138	6.749991140097768e-07	0.0005815539241640483
SPATA8		106.0	33	32	5	[1,4]:6,[12,23]:10,[29,33]:7,[39,44]:4,[44,48]:5	0.7095721185747578	4.755150062879604	9.914953295944067e-07	0.0008039860657916997
GNAQ	Dom	360.0	60	43	2	[183,183]:2,[209,214]:41	0.7029464195337283	4.70334719106459	1.279653304339377e-06	0.0009800011555732395
GALP		117.0	15	12	4	[4,6]:5,[30,35]:3,[71,71]:2,[105,105]:2	0.6922605549763842	4.61980001083971	1.9205505091060843e-06	0.0013934099351593356
HIST1H3B	Dom	137.0	54	48	9	[27,28]:3,[51,51]:6,[67,67]:2,[73,86]:11,[94,98]:7,[106,106]:3,[117,118]:3,[124,124]:2,[132,135]:11	0.6836458962543835	4.552446504629661	2.6512823377736953e-06	0.0018273963513105195
HIST2H2AC		130.0	24	21	6	[2,8]:6,[8,12]:4,[30,30]:2,[89,94]:4,[105,105]:3,[121,121]:2	0.6778267754609338	4.506949845836007	3.288308539977549e-06	0.0021414744922312197
SNRPE		93.0	8	6	2	[6,6]:2,[17,18]:4	0.6767783906095319	4.498753073580934	3.4176596901767745e-06	0.0021414744922312197
CD52		62.0	6	4	1	[3,3]:4	0.6666666666666666	4.419694798220502	4.94201958897673e-06	0.0027250296013617693
DEFB128		94.0	6	4	2	[20,20]:2,[56,56]:2	0.6666666666666666	4.419694798220502	4.94201958897673e-06	0.0027250296013617693
SNRPD3		127.0	6	4	1	[96,96]:4	0.6666666666666666	4.419694798220502	4.94201958897673e-06	0.0027250296013617693
CLEC3A		207.0	37	33	6	[27,32]:3,[45,49]:6,[53,58]:8,[67,69]:5,[103,104]:3,[128,136]:8	0.6608074809521676	4.373884892785769	6.102737671251966e-06	0.00323562456916186
PDE6H		84.0	8	6	2	[15,19]:4,[51,51]:2	0.6562511987844889	4.338261708028404	7.180704114686079e-06	0.003666148378553615
EVA1B		166.0	7	7	2	[1,13]:5,[22,22]:2	0.6517891393973931	4.303375201860628	8.410780931812793e-06	0.004140807683751405
OCM2		110.0	10	7	3	[49,49]:2,[55,57]:3,[90,90]:2	0.6500009590183939	4.289394355706616	8.958050442465276e-06	0.004258162943082201
B2M	Rec	120.0	34	24	4	[1,3]:14,[12,15]:6,[54,54]:2,[97,97]:2	0.6445367728752487	4.246672745112188	1.0848425440379247e-05	0.004984851489854264
RBBP9		187.0	7	5	2	[76,76]:2,[96,98]:3	0.6428585128834199	4.23355130891495	1.1501483518008035e-05	0.005114450009540025
RRAS2		205.0	18	12	1	[37,39]:12	0.6388894216768856	4.202519062849899	1.3198050587442726e-05	0.005685472729621811
CDKN2A	Rec	168.0	139	140	8	[8,35]:19,[42,56]:14,[65,68]:4,[72,90]:54,[94,101]:7,[101,108]:20,[112,128]:18,[153,155]:4	0.6349896109924597	4.172028484914329	1.5094994189357914e-05	0.00630559075455451
GTF2I		999.0	101	65	2	[383,383]:61,[819,823]:4	0.6336635562412661	4.161660757091139	1.579707333935416e-05	0.006393627707972193
BEX3		192.0	12	9	3	[37,37]:2,[54,60]:4,[73,74]:3	0.6325843580749959	4.153223071659896	1.639124408453545e-05	0.006393627707972193
